iter	RMSE
0	184.0319976
1	180.7331169
2	176.1928827
3	172.9157766
4	169.7617525
5	166.7237907
6	163.6146025
7	159.5181671
8	156.7484816
9	154.6754296
10	151.8502535
11	149.0590931
12	147.163854
13	145.2319331
14	141.5477067
15	137.9915763
16	135.4195649
17	132.9435992
18	129.7477154
19	126.4971715
20	124.2122018
21	121.9672772
22	119.8119508
23	117.6712915
24	114.755937
25	113.2622169
26	111.2490283
27	109.2437831
28	106.5706382
29	104.6559682
30	102.7641386
31	100.1998402
32	98.39136019
33	95.92527993
34	94.33223153
35	92.6315728
36	90.96040748
37	89.38963906
38	88.22043892
39	86.00971343
40	84.50615914
41	83.06321066
42	81.04136231
43	80.0265127
44	78.64927578
45	77.62154777
46	75.7042238
47	73.81560604
48	72.51920051
49	71.2524661
50	69.50496915
51	67.79720487
52	66.70265151
53	65.84984572
54	64.26155847
55	63.16787222
56	62.04916702
57	61.26111834
58	60.52260228
59	59.09486514
60	57.66172182
61	56.36418391
62	55.10251574
63	54.42846231
64	53.5072334
65	52.24408224
66	51.06689944
67	49.94212629
68	48.76113851
69	48.14826614
70	47.09736002
71	46.07617411
72	44.99476361
73	44.02899542
74	43.31366144
75	42.35258303
76	41.68629961
77	40.98771938
78	40.0582771
79	39.22029178
80	38.27036081
81	37.68531273
82	37.02321099
83	36.23399857
84	35.3909814
85	34.669636
86	34.06956257
87	33.45695579
88	32.65713619
89	32.09761224
90	31.45215913
91	30.75359774
92	30.25938169
93	29.66206469
94	29.08287287
95	28.43413712
96	27.88824159
97	27.27246022
98	26.6582483
99	26.11405656
100	25.55653942
101	25.06008612
102	24.48265111
103	23.92317733
104	23.41866399
105	22.91416968
106	22.44509117
107	22.00661072
108	21.50139533
109	21.05985671
110	20.63405346
111	20.16226648
112	19.82026416
113	19.4274916
114	19.04783336
115	18.65901939
116	18.22791445
117	17.90165917
118	17.52012769
119	17.18602045
120	16.95736034
121	16.57164887
122	16.23560531
123	15.95180743
124	15.66793297
125	15.42965968
126	15.17362489
127	14.93961344
128	14.67921147
129	14.383589
130	14.07315046
131	13.79750015
132	13.51892205
133	13.22438698
134	12.95054546
135	12.68960372
136	12.42757893
137	12.17603142
138	11.91850765
139	11.68142361
140	11.44804242
141	11.27865747
142	11.03704052
143	10.80772628
144	10.58452642
145	10.37286831
146	10.21865598
147	10.02464051
148	9.83497347
149	9.653433536
150	9.504724412
151	9.328991927
152	9.159378521
153	8.997115118
154	8.851300181
155	8.691544295
156	8.543877212
157	8.424337322
158	8.281704153
159	8.158055832
160	8.012862753
161	7.876623159
162	7.757238104
163	7.639906485
164	7.513743987
165	7.400431134
166	7.290348559
167	7.166788052
168	7.078656408
169	6.982002754
170	6.869402996
171	6.757141201
172	6.664842203
173	6.610820805
174	6.498709376
175	6.406115982
176	6.315088885
177	6.222573508
178	6.133467857
179	6.085053644
180	6.013767275
181	5.942795199
182	5.843930132
183	5.754228544
184	5.673386546
185	5.601031359
186	5.517065293
187	5.445686892
188	5.412495883
189	5.359560782
190	5.325995073
191	5.260103795
192	5.214995871
193	5.149761372
194	5.080991731
195	5.051891586
196	4.986851596
197	4.927225262
198	4.882352677
199	4.840746715
200	4.785233641
201	4.722285709
202	4.663301192
203	4.63812232
204	4.592030264
205	4.535117302
206	4.476256883
207	4.428570302
208	4.376076601
209	4.329736192
210	4.307729783
211	4.279738791
212	4.245852469
213	4.205789859
214	4.178470003
215	4.130964758
216	4.094179645
217	4.074628576
218	4.055858593
219	4.007187361
220	3.95988217
221	3.942655681
222	3.91633742
223	3.898866687
224	3.881622389
225	3.85698262
226	3.840989985
227	3.819046489
228	3.801212862
229	3.777973945
230	3.762200053
231	3.728357733
232	3.688106921
233	3.673252911
234	3.630735909
235	3.61759689
236	3.581432757
237	3.557936211
238	3.534708153
239	3.513828111
240	3.497530832
241	3.476418578
242	3.436016871
243	3.408062345
244	3.396772368
245	3.36285063
246	3.327425809
247	3.316733531
248	3.299617655
249	3.286975063
250	3.270938445
251	3.232912223
252	3.19318994
253	3.162779225
254	3.140183558
255	3.113093662
256	3.081513542
257	3.070657289
258	3.043569006
259	3.022044757
260	2.997728454
261	2.986966233
262	2.965578433
263	2.957597735
264	2.932356721
265	2.922298814
266	2.903907811
267	2.888551932
268	2.862981379
269	2.85207977
270	2.821133784
271	2.788410191
272	2.780107741
273	2.771126735
274	2.75246805
275	2.716983362
276	2.698206467
277	2.689380734
278	2.672284105
279	2.663263487
280	2.634181157
281	2.611383642
282	2.584300514
283	2.558004457
284	2.528859927
285	2.520563569
286	2.513590677
287	2.501146451
288	2.493518068
289	2.462833806
290	2.429358674
291	2.398754369
292	2.392130719
293	2.384888387
294	2.369133828
295	2.346378687
296	2.318825449
297	2.304594382
298	2.28000094
299	2.255264092
300	2.242897672
301	2.225623383
302	2.220618046
303	2.214650828
304	2.198440285
305	2.193037626
306	2.178239982
307	2.162091835
308	2.153406007
309	2.14881303
310	2.124504693
311	2.119899473
312	2.102146082
313	2.08455907
314	2.060298496
315	2.051340839
316	2.044753135
317	2.027971083
318	2.012114929
319	2.007795713
320	1.996410102
321	1.982772065
322	1.971303564
323	1.967655214
324	1.947249567
325	1.941564399
326	1.925645869
327	1.910995413
328	1.905400278
329	1.892429621
330	1.878705807
331	1.863648394
332	1.851209072
333	1.839469298
334	1.836860712
335	1.827725255
336	1.816375427
337	1.799482361
338	1.784933983
339	1.773328274
340	1.759218485
341	1.743935792
342	1.734581185
343	1.724212996
344	1.717699088
345	1.711833797
346	1.709460477
347	1.696818256
348	1.685300715
349	1.673234227
350	1.660836242
351	1.655433329
352	1.647091319
353	1.636548085
354	1.623801886
355	1.614981247
356	1.603204422
357	1.591966901
358	1.578599307
359	1.564678733
360	1.554684864
361	1.545882335
362	1.543173748
363	1.532722788
364	1.523251553
365	1.51390415
366	1.506505042
367	1.502659954
368	1.500187046
369	1.491711788
370	1.480431488
371	1.470976158
372	1.462147361
373	1.454816948
374	1.44737861
375	1.445307878
376	1.438007785
377	1.430849096
378	1.420929893
379	1.412253516
380	1.404044118
381	1.399848022
382	1.393800273
383	1.38719905
384	1.379800201
385	1.371134703
386	1.364622469
387	1.354667278
388	1.346445475
389	1.339031215
390	1.330319759
391	1.325012253
392	1.315505533
393	1.308317077
394	1.300423123
395	1.295025442
396	1.287877714
397	1.280846606
398	1.275505157
399	1.273644597
400	1.268640122
401	1.264741389
402	1.259444466
403	1.257083858
404	1.251505994
405	1.249768972
406	1.246760787
407	1.239086152
408	1.234068064
409	1.232049419
410	1.228500423
411	1.222865117
412	1.218142514
413	1.216295141
414	1.209568892
415	1.202532217
416	1.197293724
417	1.195295792
418	1.18831155
419	1.184326392
420	1.177904527
421	1.176126889
422	1.171013992
423	1.169188984
424	1.164344232
425	1.161062861
426	1.155594169
427	1.153782179
428	1.149281362
429	1.144704455
430	1.139817369
431	1.13679212
432	1.13164948
433	1.129236123
434	1.124700702
435	1.119194527
436	1.115043075
437	1.113231805
438	1.110988781
439	1.105710906
440	1.100354852
441	1.097045576
442	1.090821848
443	1.089372019
444	1.082714728
445	1.077017954
446	1.072410724
447	1.068349606
448	1.065099943
449	1.061114397
450	1.056584344
451	1.05468449
452	1.050045907
453	1.044712987
454	1.042918552
455	1.039537402
456	1.037140203
457	1.032999133
458	1.031224233
459	1.02715118
460	1.02175091
461	1.017005093
462	1.013968354
463	1.010538017
464	1.004806562
465	1.001096701
466	0.9961101715
467	0.9951086317
468	0.9899860108
469	0.9859642562
470	0.9839114056
471	0.9825438795
472	0.980870023
473	0.9759003246
474	0.9736611629
475	0.9712592522
476	0.9672169086
477	0.9658345549
478	0.9612086244
479	0.956368071
480	0.9524137583
481	0.9485823343
482	0.9431541951
483	0.9409246104
484	0.9358982669
485	0.9340450517
486	0.9304906229
487	0.9279407575
488	0.9239043309
489	0.9228558231
490	0.9193325686
491	0.918393883
492	0.9169252373
493	0.9156440216
494	0.9144000589
495	0.9106175515
496	0.9092742715
497	0.904671404
498	0.9038646725
499	0.9031489385
500	0.9012635438
501	0.8971343463
502	0.8963373624
503	0.8903637977
504	0.8895142671
505	0.8877432877
506	0.8846729558
507	0.8813699502
508	0.8775705594
509	0.8760445202
510	0.8746752017
511	0.8735704563
512	0.8724044294
513	0.8684284646
514	0.867294822
515	0.8660368418
516	0.8648928105
517	0.8632413191
518	0.862538976
519	0.857866763
520	0.8565420629
521	0.8553192975
522	0.8544234119
523	0.8534625906
524	0.8529171256
525	0.8495154246
526	0.8479771984
527	0.8469010564
528	0.8426690969
529	0.8395667947
530	0.8383144223
531	0.8351671189
532	0.8304108788
533	0.8294233936
534	0.8285280001
535	0.8277773641
536	0.8266850263
537	0.8238044437
538	0.8229159352
539	0.8220537819
540	0.8193552945
541	0.8159169495
542	0.8129861903
543	0.8119270042
544	0.8106253088
545	0.8100210279
546	0.8085998067
547	0.8049990251
548	0.8021788419
549	0.7988767026
550	0.7979378255
551	0.7934360302
552	0.7901225061
553	0.787017335
554	0.7862513449
555	0.7855081052
556	0.7846076289
557	0.7814494681
558	0.7773248094
559	0.7752729697
560	0.7745129791
561	0.7716292475
562	0.7697850155
563	0.7693403639
564	0.7666126872
565	0.7661118966
566	0.7617096122
567	0.7611969018
568	0.7582360169
569	0.7561855378
570	0.7521170449
571	0.7485580538
572	0.7472021714
573	0.746481904
574	0.7430036912
575	0.7425338558
576	0.7415338067
577	0.7408480698
578	0.7378250582
579	0.7371172593
580	0.735648818
581	0.7322003497
582	0.7285499222
583	0.7266310368
584	0.7224592816
585	0.7210622645
586	0.7188345526
587	0.7158191993
588	0.7129545496
589	0.7116808137
590	0.7077493513
591	0.7058502168
592	0.7030592847
593	0.7024283672
594	0.7003916022
595	0.6975539001
596	0.6960092797
597	0.6930575309
598	0.6923737168
599	0.6920137634
600	0.6911959066
601	0.6871881817
602	0.6845027324
603	0.6822814039
604	0.6800473736
