iter	Passed	Remaining
400	27332	74909
401	27397	74831
402	27467	74768
403	27565	74781
404	27632	74710
405	27699	74637
406	27771	74579
407	27840	74514
408	27910	74450
409	27978	74382
410	28047	74315
411	28116	74248
412	28187	74188
413	28256	74122
414	28322	74046
415	28389	73976
416	28456	73903
417	28524	73836
418	28595	73774
419	28660	73698
420	28730	73634
421	28796	73561
422	28864	73491
423	28934	73427
424	29004	73364
425	29073	73297
426	29141	73228
427	29211	73164
428	29287	73117
429	29363	73068
430	29439	73018
431	29506	72946
432	29576	72881
433	29644	72813
434	29713	72747
435	29781	72677
436	29850	72610
437	29918	72542
438	29990	72481
439	30059	72416
440	30129	72352
441	30198	72284
442	30266	72215
443	30348	72179
444	30451	72194
445	30541	72176
446	30612	72114
447	30678	72040
448	30745	71967
449	30834	71946
450	30908	71891
451	30975	71819
452	31041	71745
453	31117	71693
454	31191	71637
455	31300	71662
456	31421	71712
457	31559	71800
458	31643	71766
459	31711	71695
460	31778	71622
461	31858	71578
462	31930	71515
463	31998	71445
464	32063	71367
465	32135	71304
466	32205	71238
467	32257	71131
468	32327	71066
469	32397	70999
470	32466	70930
471	32538	70867
472	32607	70799
473	32679	70737
474	32745	70661
475	32814	70592
476	32889	70535
477	32973	70498
478	33045	70438
479	33115	70370
480	33181	70295
481	33250	70225
482	33318	70154
483	33384	70080
484	33454	70013
485	33521	69940
486	33584	69859
487	33649	69781
488	33710	69695
489	33770	69608
490	33839	69539
491	33910	69474
492	33975	69399
493	34044	69330
494	34117	69269
495	34186	69200
496	34255	69132
497	34331	69076
498	34401	69009
499	34471	68943
500	34539	68872
501	34609	68806
502	34674	68727
503	34746	68666
504	34814	68594
505	34890	68540
506	34963	68479
507	35033	68411
508	35100	68338
509	35171	68275
510	35242	68209
511	35316	68148
512	35386	68082
513	35454	68011
514	35523	67942
515	35595	67879
516	35664	67810
517	35734	67742
518	35802	67672
519	35872	67606
520	35943	67540
521	36013	67474
522	36083	67406
523	36154	67340
524	36229	67283
525	36300	67217
526	36371	67152
527	36448	67097
528	36518	67030
529	36592	66971
530	36663	66904
531	36730	66832
532	36806	66776
533	36873	66703
534	36946	66640
535	37014	66570
536	37083	66502
537	37154	66436
538	37222	66365
539	37295	66303
540	37363	66231
541	37432	66163
542	37499	66090
543	37571	66026
544	37642	65960
545	37718	65903
546	37786	65832
547	37856	65764
548	37931	65707
549	38002	65641
550	38071	65571
551	38141	65504
552	38210	65435
553	38280	65367
554	38354	65306
555	38422	65235
556	38489	65162
557	38558	65093
558	38628	65026
559	38694	64951
560	38762	64880
561	38832	64813
562	38901	64743
563	38973	64678
564	39041	64608
565	39110	64539
566	39181	64473
567	39249	64401
568	39317	64331
569	39387	64263
570	39460	64201
571	39525	64125
572	39597	64061
573	39667	63993
574	39737	63925
575	39805	63855
576	39877	63790
577	39946	63720
578	40019	63657
579	40088	63588
580	40157	63519
581	40226	63449
582	40296	63381
583	40364	63310
584	40436	63246
585	40506	63179
586	40579	63115
587	40645	63041
588	40714	62973
589	40773	62888
590	40845	62823
591	40914	62753
592	40985	62688
593	41054	62618
594	41124	62550
595	41192	62479
596	41263	62413
597	41333	62346
598	41406	62281
599	41474	62212
600	41544	62144
601	41618	62081
602	41688	62013
603	41758	61946
604	41826	61875
605	41896	61807
606	41965	61737
607	42035	61670
608	42105	61602
609	42181	61543
610	42253	61477
611	42328	61417
612	42392	61341
613	42463	61273
614	42530	61203
615	42603	61139
616	42672	61069
617	42743	61002
618	42811	60931
619	42882	60864
620	42950	60794
621	43022	60728
622	43091	60659
623	43164	60596
624	43231	60524
625	43300	60455
626	43371	60388
627	43442	60322
628	43512	60253
629	43584	60188
630	43653	60119
631	43725	60053
632	43794	59983
633	43867	59919
634	43935	59849
635	44005	59781
636	44075	59712
637	44144	59644
638	44215	59576
639	44285	59508
640	44355	59440
641	44424	59371
642	44495	59304
643	44565	59236
644	44632	59164
645	44707	59102
646	44774	59030
647	44841	58958
648	44915	58895
649	44985	58826
650	45055	58758
651	45123	58688
652	45192	58619
653	45260	58548
654	45334	58484
655	45402	58414
656	45472	58345
657	45540	58274
658	45610	58206
659	45679	58138
660	45751	58072
661	45819	58000
662	45888	57931
663	45960	57866
664	46028	57795
665	46097	57726
666	46168	57659
667	46237	57589
668	46307	57521
669	46375	57450
670	46445	57382
671	46516	57314
672	46587	57248
673	46655	57177
674	46726	57109
675	46795	57040
676	46864	56971
677	46934	56902
678	47004	56834
679	47073	56765
680	47124	56673
681	47193	56603
682	47243	56511
683	47312	56442
684	47383	56375
685	47451	56305
686	47521	56237
687	47589	56166
688	47659	56098
689	47729	56030
690	47799	55961
691	47867	55891
692	47939	55825
693	48008	55755
694	48078	55687
695	48149	55620
696	48218	55551
697	48293	55489
698	48369	55427
699	48442	55362
700	48514	55296
701	48583	55226
702	48656	55162
703	48726	55094
704	48798	55027
705	48867	54958
706	48936	54889
707	49004	54818
708	49077	54753
709	49147	54685
710	49219	54618
711	49290	54551
712	49360	54483
713	49432	54417
714	49502	54348
715	49573	54281
716	49643	54212
717	49712	54143
718	49781	54074
719	49852	54006
720	49923	53939
721	49993	53871
722	50064	53803
723	50134	53735
724	50205	53667
725	50277	53601
726	50344	53530
727	50416	53464
728	50485	53394
729	50555	53325
730	50624	53256
731	50695	53188
732	50764	53118
733	50834	53050
734	50903	52981
735	50974	52913
736	51042	52843
737	51113	52775
738	51181	52705
739	51255	52640
740	51325	52572
741	51396	52505
742	51463	52433
743	51532	52363
744	51601	52294
745	51670	52224
746	51739	52154
747	51807	52084
748	51875	52014
749	51945	51945
750	52015	51876
751	52081	51804
752	52151	51735
753	52220	51666
754	52291	51598
755	52360	51529
756	52428	51459
757	52500	51391
758	52564	51318
759	52632	51247
760	52702	51178
761	52772	51110
762	52841	51040
763	52910	50971
764	52980	50902
765	53047	50831
766	53115	50760
767	53184	50691
768	53254	50623
769	53323	50553
770	53393	50485
771	53462	50415
772	53531	50345
773	53596	50272
774	53666	50203
775	53743	50141
776	53817	50077
777	53885	50007
778	53958	49941
779	54027	49871
780	54095	49801
781	54162	49730
782	54239	49667
783	54308	49598
784	54379	49530
785	54448	49460
786	54523	49397
787	54591	49326
788	54663	49259
789	54732	49190
790	54806	49124
791	54847	49030
792	54922	48966
793	54992	48897
794	55034	48804
795	55104	48735
796	55172	48664
797	55243	48597
798	55309	48525
799	55379	48456
800	55446	48385
801	55514	48315
802	55579	48243
803	55653	48177
804	55753	48135
805	55823	48066
806	55892	47996
807	55962	47928
808	56032	47859
809	56102	47791
810	56171	47721
811	56241	47652
812	56308	47582
813	56380	47514
814	56448	47444
815	56519	47376
816	56588	47307
817	56661	47240
818	56731	47172
819	56805	47106
820	56878	47041
821	56948	46971
822	57017	46902
823	57088	46834
824	57157	46765
825	57231	46699
826	57300	46630
827	57370	46561
828	57443	46495
829	57512	46426
830	57587	46361
831	57664	46297
832	57733	46228
833	57804	46160
834	57878	46094
835	57960	46035
836	58030	45966
837	58104	45900
838	58172	45830
839	58244	45763
840	58315	45695
841	58384	45625
842	58455	45557
843	58526	45489
844	58595	45420
845	58666	45352
846	58737	45283
847	58805	45213
848	58875	45144
849	58942	45073
850	59016	45007
851	59084	44937
852	59153	44868
853	59222	44798
854	59293	44730
855	59361	44659
856	59496	44639
